Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
*,325613,Surface Active Agent Manufacturing,*,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes, and toilet preparations","except leather and textile finishing agents, mordants",2023,F4.0436,NAICS-325613,ISIC-2023,,1,1
*,325613,Surface Active Agent Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,"leather and textile finishing agents, mordants",2029,F4.0437,NAICS-325613,ISIC-2029,,1,1
,325620,Toilet Preparation Manufacturing,*,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes, and toilet preparations", ,2023,F4.0438,NAICS-325620,ISIC-2023,,1,1
,325910,Printing Ink Manufacturing,*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics", ,2022,F4.0439,NAICS-325910,ISIC-2022,,1,1
,325920,Explosives Manufacturing,*,2029,Manufacture of other chemical products n.e.c., ,2029,F4.0440,NAICS-325920,ISIC-2029,,1,1
,325991,Custom Compounding of Purchased Resins,*,2013,Manufacture of plastics and synthetic rubber in primary forms, ,2013,F4.0441,NAICS-325991,ISIC-2013,,1,1
*,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",*,2029,Manufacture of other chemical products n.e.c.,except toner cartridges,2029,F4.0442,NAICS-325992,ISIC-2029,,1,1
*,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",*,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),toner cartridges,2817,F4.0443,NAICS-325992,ISIC-2817,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,2011,Manufacture of basic chemicals,distilled water,2011,F4.0444,NAICS-325998,ISIC-2011,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",textile dye preparations and other household dye or tinting preparations (except hair),2022,F4.0445,NAICS-325998,ISIC-2022,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes, and toilet preparations",incense and engine degreasers,2023,F4.0446,NAICS-325998,ISIC-2023,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,2029,Manufacture of other chemical products n.e.c.,"except distilled water, textile dye preparations, household dye (except hair) drilling mud compounds, and aerosol packaging",2029,F4.0447,NAICS-325998,ISIC-2029,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,drilling mud compounds,2399,F4.0448,NAICS-325998,ISIC-2399,,1,1
*,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,*,8292,Packaging activities,aerosol packaging,8292,F4.0449,NAICS-325998,ISIC-8292,,1,1
,326111,Plastics Bag and Pouch Manufacturing ,*,2220,Manufacture of plastics products, ,2220,F4.0450,NAICS-326111,ISIC-2220,,1,1
,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0451,NAICS-326112,ISIC-2220,,1,1
,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0452,NAICS-326113,ISIC-2220,,1,1
,326121,Unlaminated Plastics Profile Shape Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0453,NAICS-326121,ISIC-2220,,1,1
,326122,Plastics Pipe and Pipe Fitting Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0454,NAICS-326122,ISIC-2220,,1,1
,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",*,2220,Manufacture of plastics products, ,2220,F4.0455,NAICS-326130,ISIC-2220,,1,1
,326140,Polystyrene Foam Product Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0456,NAICS-326140,ISIC-2220,,1,1
,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0457,NAICS-326150,ISIC-2220,,1,1
,326160,Plastics Bottle Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0458,NAICS-326160,ISIC-2220,,1,1
,326191,Plastics Plumbing Fixture Manufacturing,*,2220,Manufacture of plastics products, ,2220,F4.0459,NAICS-326191,ISIC-2220,,1,1
*,326199,All Other Plastics Product Manufacturing,*,2220,Manufacture of plastics products,"except plastics battery separators, plastics air cargo containers, and plastics counter tops not fabricated at the site of construction",2220,F4.0460,NAICS-326199,ISIC-2220,,1,1
*,326199,All Other Plastics Product Manufacturing,*,2720,Manufacture of batteries and accumulators,plastics battery separators,2720,F4.0461,NAICS-326199,ISIC-2720,,1,1
*,326199,All Other Plastics Product Manufacturing,*,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,plastics air cargo containers,2920,F4.0462,NAICS-326199,ISIC-2920,,1,1
*,326199,All Other Plastics Product Manufacturing,*,3100,Manufacture of furniture,"plastics counter tops, not fabricated at the construction site",3100,F4.0463,NAICS-326199,ISIC-3100,,1,1
*,326211,Tire Manufacturing (except Retreading),*,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,except rubber tire repair materials,2211,F4.0464,NAICS-326211,ISIC-2211,,1,1
*,326211,Tire Manufacturing (except Retreading),*,2219,Manufacture of other rubber products,rubber tire repair materials,2219,F4.0465,NAICS-326211,ISIC-2219,,1,1
,326212,Tire Retreading,*,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres, ,2211,F4.0466,NAICS-326212,ISIC-2211,,1,1
*,326220,Rubber and Plastics Hoses and Belting Manufacturing,*,2219,Manufacture of other rubber products,except plastics hose and belting,2219,F4.0467,NAICS-326220,ISIC-2219,,1,1
*,326220,Rubber and Plastics Hoses and Belting Manufacturing,*,2220,Manufacture of plastics products,plastics (reinforced) hose and belting,2220,F4.0468,NAICS-326220,ISIC-2220,,1,1
,326291,Rubber Product Manufacturing for Mechanical Use,*,2219,Manufacture of other rubber products, ,2219,F4.0469,NAICS-326291,ISIC-2219,,1,1
*,326299,All Other Rubber Product Manufacturing,*,2219,Manufacture of other rubber products,except rubber battery separators,2219,F4.0470,NAICS-326299,ISIC-2219,,1,1
*,326299,All Other Rubber Product Manufacturing,*,2720,Manufacture of batteries and accumulators,rubber battery separators,2720,F4.0471,NAICS-326299,ISIC-2720,,1,1
*,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",*,2392,Manufacture of clay building materials,ceramic plumbing fixtures,2392,F4.0472,NAICS-327110,ISIC-2392,,1,1
*,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing ",,2393,Manufacture of other porcelain and ceramic products,except ceramic plumbing fixtures,2393,F4.0473,NAICS-327110,ISIC-2393,,1,1
*,327120,Clay Building Material and Refractories Manufacturing ,,2391,Manufacture of refractory products,refractory ceramic products,2391,F4.0474,NAICS-327120,ISIC-2391,,1,1
*,327120,Clay Building Material and Refractories Manufacturing ,*,2392,Manufacture of clay building materials,"except refractory ceramic products, adobe bricks and similar articles of fibre cement",2392,F4.0475,NAICS-327120,ISIC-2392,,1,1
*,327120,Clay Building Material and Refractories Manufacturing ,*,2395,"Manufacture of articles of concrete, cement and plaster",adobe bricks and similar articles of fibre cement ,2395,F4.0476,NAICS-327120,ISIC-2395,,1,1
,327211,Flat Glass Manufacturing,*,2310,Manufacture of glass and glass products, ,2310,F4.0477,NAICS-327211,ISIC-2310,,1,1
,327212,Other Pressed and Blown Glass and Glassware Manufacturing,*,2310,Manufacture of glass and glass products, ,2310,F4.0478,NAICS-327212,ISIC-2310,,1,1
,327213,Glass Container Manufacturing,*,2310,Manufacture of glass and glass products, ,2310,F4.0479,NAICS-327213,ISIC-2310,,1,1
,327215,Glass Product Manufacturing Made of Purchased Glass,*,2310,Manufacture of glass and glass products, ,2310,F4.0480,NAICS-327215,ISIC-2310,,1,1
,327310,Cement Manufacturing,*,2394,"Manufacture of cement, lime and plaster", ,2394,F4.0481,NAICS-327310,ISIC-2394,,1,1
,327320,Ready-Mix Concrete Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster", ,2395,F4.0482,NAICS-327320,ISIC-2395,,1,1
,327331,Concrete Block and Brick Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster", ,2395,F4.0483,NAICS-327331,ISIC-2395,,1,1
,327332,Concrete Pipe Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster", ,2395,F4.0484,NAICS-327332,ISIC-2395,,1,1
,327390,Other Concrete Product Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster", ,2395,F4.0485,NAICS-327390,ISIC-2395,,1,1
,327410,Lime Manufacturing,*,2394,"Manufacture of cement, lime and plaster", ,2394,F4.0486,NAICS-327410,ISIC-2394,,1,1
*,327420,Gypsum Product Manufacturing,*,2394,"Manufacture of cement, lime and plaster",gypsum plaster,2394,F4.0487,NAICS-327420,ISIC-2394,,1,1
*,327420,Gypsum Product Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster",except gypsum plaster,2395,F4.0488,NAICS-327420,ISIC-2395,,1,1
,327910,Abrasive Product Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c., ,2399,F4.0489,NAICS-327910,ISIC-2399,,1,1
,327991,Cut Stone and Stone Product Manufacturing,*,2396,"Cutting, shaping and finishing of stone", ,2396,F4.0490,NAICS-327991,ISIC-2396,,1,1
,327992,Ground or Treated Mineral and Earth Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c., ,2399,F4.0491,NAICS-327992,ISIC-2399,,1,1
*,327993,Mineral Wool Manufacturing,*,2310,Manufacture of glass and glass products,fiberglass insulation products,2310,F4.0492,NAICS-327993,ISIC-2310,,1,1
*,327993,Mineral Wool Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,except fiberglass insulation products,2399,F4.0493,NAICS-327993,ISIC-2399,,1,1
*,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,*,2395,"Manufacture of articles of concrete, cement and plaster","dry mix mortar, dry mix concrete, stucco, and asbestos cement products",2395,F4.0494,NAICS-327999,ISIC-2395,,1,1
*,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,*,2399,Manufacture of other non-metallic mineral products n.e.c.,"except dry mix mortar, dry mix concrete, stucco, asbestos cement products, and manufacturing/working but not setting synthetic precious or semiprecious stones for jewelry uses",2399,F4.0495,NAICS-327999,ISIC-2399,,1,1
*,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,*,3211,Manufacture of jewellery and related articles,manufacturing and working but not setting synthetic precious or semiprecious stones for jewelry uses,3211,F4.0496,NAICS-327999,ISIC-3211,,1,1
,331110,Iron and Steel Mills and Ferroalloy Manufacturing ,*,2410,Manufacture of basic iron and steel, ,2410,F4.0497,NAICS-331110,ISIC-2410,,1,1
,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,*,2431,Casting of iron and steel, ,2431,F4.0498,NAICS-331210,ISIC-2431,,1,1
,331221,Rolled Steel Shape Manufacturing,*,2410,Manufacture of basic iron and steel, ,2410,F4.0499,NAICS-331221,ISIC-2410,,1,1
*,331222,Steel Wire Drawing,*,2410,Manufacture of basic iron and steel,drawing steel wire from purchased steel,2410,F4.0500,NAICS-331222,ISIC-2410,,1,1
*,331222,Steel Wire Drawing,*,2599,Manufacture of other fabricated metal products n.e.c.,"wire products except steel wire, steel wire shopping carts made in drawing plants, and insulated steel wire to be used as a conductor ",2599,F4.0501,NAICS-331222,ISIC-2599,,1,1
*,331222,Steel Wire Drawing,*,2732,Manufacture of other electronic and electric wires and cables,"insulated steel cable capable of being used as a conductor, made in steel wire drawing plants",2732,F4.0502,NAICS-331222,ISIC-2732,,1,1
*,331222,Steel Wire Drawing,*,3099,Manufacture of other transport equipment n.e.c.,shopping carts made in wire drawing plants,3099,F4.0503,NAICS-331222,ISIC-3099,,1,1
,331313,Alumina Refining and Primary Aluminum Production ,*,2420,Manufacture of basic precious and other non-ferrous metals, ,2420,F4.0504,NAICS-331313,ISIC-2420,,1,1
,331314,Secondary Smelting and Alloying of Aluminum,*,2420,Manufacture of basic precious and other non-ferrous metals, ,2420,F4.0505,NAICS-331314,ISIC-2420,,1,1
,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",*,2420,Manufacture of basic precious and other non-ferrous metals, ,2420,F4.0506,NAICS-331315,ISIC-2420,,1,1
*,331318,"Other Aluminum Rolling, Drawing, and Extruding ",*,2420,Manufacture of basic precious and other non-ferrous metals,"except aluminum wire products made in drawing plants and insulated aluminum wire capable of being used as a conductor, made in drawing plants",2420,F4.0507,NAICS-331318,ISIC-2420,,1,1
*,331318,"Other Aluminum Rolling, Drawing, and Extruding ",*,2599,Manufacture of other fabricated metal products n.e.c.,"aluminum wire products, made in drawing plants",2599,F4.0508,NAICS-331318,ISIC-2599,,1,1
*,331318,"Other Aluminum Rolling, Drawing, and Extruding ",*,2732,Manufacture of other electronic and electric wires and cables,"insulated aluminum wire capable of being used as a conductor, made in wire drawing plants",2732,F4.0509,NAICS-331318,ISIC-2732,,1,1
,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,*,2420,Manufacture of basic precious and other non-ferrous metals, ,2420,F4.0510,NAICS-331410,ISIC-2420,,1,1
*,331420,"Copper Rolling, Drawing, Extruding, and Alloying",*,2420,Manufacture of basic precious and other non-ferrous metals,"drawing copper wire from purchased wire, except copper mechanical wire products made in drawing mills",2420,F4.0511,NAICS-331420,ISIC-2420,,1,1
*,331420,"Copper Rolling, Drawing, Extruding, and Alloying",*,2599,Manufacture of other fabricated metal products n.e.c.,"copper mechanical wire products made in drawing mills, except drawing copper wire from purchased wire and drawing and insulating copper wire capable of being used as a conductor",2599,F4.0512,NAICS-331420,ISIC-2599,,1,1
*,331420,"Copper Rolling, Drawing, Extruding, and Alloying",*,2732,Manufacture of other electronic and electric wires and cables,insulated copper wire made in integrated secondary smelting and drawing plants or made from purchased copper in drawing plants,2732,F4.0513,NAICS-331420,ISIC-2732,,1,1
*,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",*,2420,Manufacture of basic precious and other non-ferrous metals,except other nonferrous wire products made in drawing plants,2420,F4.0514,NAICS-331491,ISIC-2420,,1,1
*,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",*,2599,Manufacture of other fabricated metal products n.e.c.,other nonferrous wire products made in drawing plants,2599,F4.0515,NAICS-331491,ISIC-2599,,1,1
,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",*,2420,Manufacture of basic precious and other non-ferrous metals, ,2420,F4.0516,NAICS-331492,ISIC-2420,,1,1
*,331511,Iron Foundries,*,2431,Casting of iron and steel,except iron rolling mill rolls and steel ingot molds,2431,F4.0517,NAICS-331511,ISIC-2431,,1,1
*,331511,Iron Foundries,*,2823,Manufacture of machinery for metallurgy,iron rolling mill rolls and steel ingot molds,2823,F4.0518,NAICS-331511,ISIC-2823,,1,1
,331512,Steel Investment Foundries,*,2431,Casting of iron and steel, ,2431,F4.0519,NAICS-331512,ISIC-2431,,1,1
,331513,Steel Foundries (except Investment),*,2431,Casting of iron and steel, ,2431,F4.0520,NAICS-331513,ISIC-2431,,1,1
,331523,Nonferrous Metal Die-Casting Foundries ,*,2432,Casting of non-ferrous metals, ,2432,F4.0521,NAICS-331523,ISIC-2432,,1,1
,331524,Aluminum Foundries (except Die-Casting),*,2432,Casting of non-ferrous metals, ,2432,F4.0522,NAICS-331524,ISIC-2432,,1,1
,331529,Other Nonferrous Metal Foundries (except Die-Casting),*,2432,Casting of non-ferrous metals, ,2432,F4.0523,NAICS-331529,ISIC-2432,,1,1
,332111,Iron and Steel Forging,*,2591,"Forging, pressing, stamping and roll-forming or metal; powder metallurgy", ,2591,F4.0524,NAICS-332111,ISIC-2591,,1,1
,332112,Nonferrous Forging,*,2591,"Forging, pressing, stamping and roll-forming or metal; powder metallurgy", ,2591,F4.0525,NAICS-332112,ISIC-2591,,1,1
,332114,Custom Roll Forming,*,2591,"Forging, pressing, stamping and roll-forming or metal; powder metallurgy", ,2591,F4.0526,NAICS-332114,ISIC-2591,,1,1
,332117,Powder Metallurgy Part Manufacturing,*,2591,"Forging, pressing, stamping and roll-forming or metal; powder metallurgy", ,2591,F4.0527,NAICS-332117,ISIC-2591,,1,1
